SALEDATE,WHSALNAME,CMPNAME,LARGENAME_API,MIDNAME_API,SMALLNAME,AVGAMT,STD,TOTQTY,MY_TARGET_ITEM_NAME,MY_TARGET_LARGENAME,MY_TARGET_MIDNAME,WHSALCD
20250227,천안,천안농협(공),엽경채류,배추,우거지,5000,1kg 상자,2,배추,엽경채류,배추,340101
20250227,천안,천안농협(공),엽경채류,배추,월동배추,11333.333,12kg 그물망,276,배추,엽경채류,배추,340101
20250227,천안,천안농협(공),엽경채류,배추,쌈배추,11000,8kg 상자,40,배추,엽경채류,배추,340101
20250228,천안,천안농협(공),엽경채류,배추,기타배추,6400,1kg 상자,29,배추,엽경채류,배추,340101
20250228,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,144,배추,엽경채류,배추,340101
20250228,천안,천안농협(공),엽경채류,배추,월동배추,7000,12kg 그물망,1224,배추,엽경채류,배추,340101
20250228,천안,천안농협(공),엽경채류,배추,쌈배추,16500,8kg 상자,64,배추,엽경채류,배추,340101
20250228,천안,천안청과㈜,엽경채류,배추,저장배추,13350,12kg 상자,12564,배추,엽경채류,배추,340101
20250301,천안,천안농협(공),엽경채류,배추,기타배추,13000,4kg 상자,16,배추,엽경채류,배추,340101
20250301,천안,천안농협(공),엽경채류,배추,월동배추,7500,12kg 그물망,156,배추,엽경채류,배추,340101
20250301,천안,천안농협(공),엽경채류,배추,기타배추,3936.364,1kg 상자,42,배추,엽경채류,배추,340101
20250301,천안,천안농협(공),엽경채류,배추,쌈배추,14500,8kg 상자,96,배추,엽경채류,배추,340101
20250301,천안,천안농협(공),엽경채류,배추,우거지,5000,12kg 상자,120,배추,엽경채류,배추,340101
20250303,천안,천안청과㈜,엽경채류,배추,저장배추,13000,12kg 상자,2160,배추,엽경채류,배추,340101
20250303,천안,천안청과㈜,엽경채류,배추,저장배추,17500,12kg 상자,8904,배추,엽경채류,배추,340101
20250304,천안,천안농협(공),엽경채류,배추,쌈배추,9025,8kg 상자,128,배추,엽경채류,배추,340101
20250304,천안,천안청과㈜,엽경채류,배추,우거지,23430,1kg 상자,2,배추,엽경채류,배추,340101
20250304,천안,천안농협(공),엽경채류,배추,기타배추,56000,1kg 상자,10,배추,엽경채류,배추,340101
20250304,천안,천안농협(공),엽경채류,배추,고냉지배추,6666.667,12kg 상자,612,배추,엽경채류,배추,340101
20250305,천안,천안농협(공),엽경채류,배추,기타배추,35883.333,1.000kg상자,19.000,배추,엽경채류,배추,340101
20250305,천안,천안농협(공),엽경채류,배추,기타배추,404500.000,1.000kg상자,1.000,배추,엽경채류,배추,340101
20250305,천안,천안농협(공),엽경채류,배추,월동배추,6666.667,12.000kg그물망,192.000,배추,엽경채류,배추,340101
20250305,천안,천안청과㈜,엽경채류,배추,저장배추,14750.000,12.000kg상자,10356.000,배추,엽경채류,배추,340101
20250307,천안,천안농협(공),엽경채류,배추,월동배추,7750.000,12.000kg그물망,936.000,배추,엽경채류,배추,340101
20250307,천안,천안청과㈜,엽경채류,배추,저장배추,14433.333,12.000kg상자,10356.000,배추,엽경채류,배추,340101
20250307,천안,천안농협(공),엽경채류,배추,우거지,5000.000,12.000kg상자,24.000,배추,엽경채류,배추,340101
20250307,천안,천안농협(공),엽경채류,배추,기타배추,5444.444,1.000kg상자,15.000,배추,엽경채류,배추,340101
