date,MY_TARGET_ITEM_NAME,countyname_api,avg_price
2025-02-07,Cabbage,Busan,5822
2025-02-07,Cabbage,Daegu,5357
2025-02-07,Cabbage,Incheon,5935
2025-02-07,Cabbage,Gwangju,5050
2025-02-07,Cabbage,Daejeon,5037
2025-02-07,Cabbage,Ulsan,5275
2025-02-07,Cabbage,Sejong,3820
2025-02-07,Cabbage,Suwon,5775
2025-02-07,Cabbage,Seongnam,4220
2025-02-07,Cabbage,Goyang,4220
2025-02-07,Cabbage,Yongin,3820
2025-02-07,Cabbage,Chuncheon,6880
2025-02-07,Cabbage,Gangneung,3750
2025-02-07,Cabbage,Cheongju,5655
2025-02-07,Cabbage,Cheonan,3820
2025-02-07,Cabbage,Jeonju,5130
2025-02-07,Cabbage,Suncheon,5260
2025-02-07,Cabbage,Pohang,5825
2025-02-07,Cabbage,Andong,3820
2025-02-07,Cabbage,Changwon,5490
2025-02-07,Cabbage,Gimhae,3750
2025-02-07,Cabbage,Jeju,6495
2025-02-10,Cabbage,Seoul,4867
2025-02-10,Cabbage,Busan,5822
2025-02-10,Cabbage,Daegu,5357
2025-02-10,Cabbage,Incheon,5935
2025-02-10,Cabbage,Gwangju,4997
2025-02-10,Cabbage,Daejeon,5037
2025-02-10,Cabbage,Ulsan,5110
2025-02-10,Cabbage,Sejong,3820
2025-02-10,Cabbage,Suwon,5775
2025-02-10,Cabbage,Seongnam,4220
2025-02-10,Cabbage,Goyang,4220
2025-02-10,Cabbage,Yongin,3820
2025-02-10,Cabbage,Chuncheon,6880
2025-02-10,Cabbage,Gangneung,3750
2025-02-10,Cabbage,Cheongju,5775
2025-02-10,Cabbage,Cheonan,3820
2025-02-10,Cabbage,Jeonju,5130
2025-02-10,Cabbage,Suncheon,5260
2025-02-10,Cabbage,Pohang,5825
2025-02-10,Cabbage,Andong,3820
2025-02-10,Cabbage,Changwon,5490
2025-02-10,Cabbage,Gimhae,3750
2025-02-10,Cabbage,Jeju,6495
2025-02-11,Cabbage,Seoul,4867
2025-02-11,Cabbage,Busan,5822
2025-02-11,Cabbage,Daegu,5357
2025-02-11,Cabbage,Incheon,6105
2025-02-11,Cabbage,Gwangju,4997
2025-02-11,Cabbage,Daejeon,5037
2025-02-11,Cabbage,Ulsan,5110
2025-02-11,Cabbage,Sejong,3820
2025-02-11,Cabbage,Suwon,5775
2025-02-11,Cabbage,Seongnam,4220
2025-02-11,Cabbage,Goyang,4220
2025-02-11,Cabbage,Yongin,3820
2025-02-11,Cabbage,Chuncheon,6880
2025-02-11,Cabbage,Gangneung,3750
2025-02-11,Cabbage,Cheongju,5525
2025-02-11,Cabbage,Cheonan,3820
2025-02-11,Cabbage,Jeonju,5130
2025-02-11,Cabbage,Suncheon,5260
2025-02-11,Cabbage,Pohang,5995
2025-02-11,Cabbage,Andong,3820
2025-02-11,Cabbage,Changwon,5490
2025-02-11,Cabbage,Gimhae,3750
2025-02-11,Cabbage,Jeju,6435
2025-02-12,Cabbage,Seoul,5023
2025-02-12,Cabbage,Busan,5780
2025-02-12,Cabbage,Daegu,5357
2025-02-12,Cabbage,Incheon,5935
2025-02-12,Cabbage,Gwangju,4967
2025-02-12,Cabbage,Daejeon,5037
2025-02-12,Cabbage,Ulsan,5275
2025-02-12,Cabbage,Sejong,3820
2025-02-12,Cabbage,Suwon,5775
2025-02-12,Cabbage,Seongnam,4220
2025-02-12,Cabbage,Goyang,4220
2025-02-12,Cabbage,Yongin,3820
2025-02-12,Cabbage,Chuncheon,6550
2025-02-12,Cabbage,Gangneung,3750
2025-02-12,Cabbage,Cheongju,5525
2025-02-12,Cabbage,Cheonan,3820
2025-02-12,Cabbage,Jeonju,4910
2025-02-12,Cabbage,Suncheon,5205
2025-02-12,Cabbage,Pohang,5995
2025-02-12,Cabbage,Andong,3820
2025-02-12,Cabbage,Changwon,5325
2025-02-12,Cabbage,Gimhae,3750
2025-02-12,Cabbage,Jeju,6435
2025-02-13,Cabbage,Seoul,4807
2025-02-13,Cabbage,Busan,5840
2025-02-13,Cabbage,Daegu,5187
2025-02-13,Cabbage,Incheon,5515
2025-02-13,Cabbage,Gwangju,4743
2025-02-13,Cabbage,Daejeon,4867
2025-02-13,Cabbage,Ulsan,5275
2025-02-13,Cabbage,Sejong,3820
2025-02-13,Cabbage,Suwon,5775
2025-02-13,Cabbage,Seongnam,4220
2025-02-13,Cabbage,Goyang,4220
2025-02-13,Cabbage,Yongin,3820
2025-02-13,Cabbage,Chuncheon,6550
2025-02-13,Cabbage,Gangneung,3990
2025-02-13,Cabbage,Cheongju,5440
2025-02-13,Cabbage,Cheonan,3820
2025-02-13,Cabbage,Jeonju,4910
2025-02-13,Cabbage,Suncheon,5150
2025-02-13,Cabbage,Pohang,5795
2025-02-13,Cabbage,Andong,3820
2025-02-13,Cabbage,Changwon,5325
2025-02-13,Cabbage,Gimhae,3750
2025-02-13,Cabbage,Jeju,6070
2025-02-14,Cabbage,Seoul,4864
2025-02-14,Cabbage,Busan,5840
2025-02-14,Cabbage,Daegu,5187
2025-02-14,Cabbage,Incheon,5515
2025-02-14,Cabbage,Gwangju,4743
2025-02-14,Cabbage,Daejeon,4827
2025-02-14,Cabbage,Ulsan,5275
