date,cabbage,radish,garlic,onion,daikon,cilantro,artichoke,cabbage_pred_Ridge,radish_pred_Ridge,garlic_pred_Ridge,onion_pred_Ridge,daikon_pred_Ridge,cilantro_pred_Ridge,artichoke_pred_Ridge,cabbage_pred_RandomForestRegressor,radish_pred_RandomForestRegressor,garlic_pred_RandomForestRegressor,onion_pred_RandomForestRegressor,daikon_pred_RandomForestRegressor,cilantro_pred_RandomForestRegressor,artichoke_pred_RandomForestRegressor,cabbage_pred_LGBM,radish_pred_LGBM,garlic_pred_LGBM,onion_pred_LGBM,daikon_pred_LGBM,cilantro_pred_LGBM,artichoke_pred_LGBM,cabbage_pred_XGBoost,radish_pred_XGBoost,garlic_pred_XGBoost,onion_pred_XGBoost,daikon_pred_XGBoost,cilantro_pred_XGBoost,artichoke_pred_XGBoost,cabbage_pred_MLP,radish_pred_MLP,garlic_pred_MLP,onion_pred_MLP,daikon_pred_MLP,cilantro_pred_MLP,artichoke_pred_MLP
2021-05-08,3061.87,550.47,4880.18,718.5,2622.25,5605.9,4747.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-09,3061.87,550.47,4880.18,718.5,2622.25,5605.9,4747.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-10,1452.18,695.99,4117.06,882.23,2359.1,6425.57,5921.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-11,2196.74,462.0,3900.59,771.83,2388.51,5919.63,6585.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,1336.15,682.76,4554.31,574.13,2226.97,5049.35,6570.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-13,1919.56,334.49,5528.94,626.29,1924.45,5140.23,5388.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-14,1310.09,555.12,4053.47,621.53,1801.15,4871.63,5039.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-15,2504.11,605.98,4981.58,602.21,2018.28,4306.28,5366.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-16,2504.11,605.98,4981.58,602.21,2018.28,4306.28,5366.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-17,1173.71,420.35,4156.69,598.47,2106.91,4291.42,5545.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-18,1384.87,580.71,4424.24,632.52,2053.74,3841.52,4829.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-19,1097.77,621.08,3724.28,674.48,1881.48,3872.79,3971.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-20,2374.85,378.19,4413.8,665.23,1603.91,3974.68,4410.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-21,1957.97,722.24,3798.06,602.55,1586.32,4106.64,4785.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-22,2071.72,468.22,4306.06,670.6,1595.49,4502.09,4489.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-23,2071.72,468.22,4306.06,670.6,1595.49,4502.09,4489.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-24,1966.25,368.84,3978.61,737.09,1364.35,4913.46,4326.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-25,1710.06,716.09,3546.76,673.37,1408.58,4252.24,5111.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-26,2188.54,472.0,3956.88,675.21,1235.92,4308.39,4833.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-27,2020.71,679.4,3209.39,653.36,1100.99,4522.39,4803.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-28,1743.15,449.26,4580.69,753.1,1117.21,5815.07,5463.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-29,1976.52,360.58,3595.63,632.13,1221.65,5499.09,5061.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-30,1976.52,360.58,3595.63,632.13,1221.65,5499.09,5061.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-31,2122.55,334.98,4052.47,528.12,1146.85,6050.32,6006.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-01,3588.07,461.52,3835.76,623.19,1085.3,5022.75,4967.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
